"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00205553908193503,0.647881796877037,0.3,0.13,1,"10","Fam8a1"
0.0020596579475545,0.643374125705851,0.28,0.103,1,"10","Galnt2"
0.00206383354642175,1.21490063806591,0.1,0.027,1,"10","Ghdc"
0.00206440177514628,1.24661543988363,0.26,0.081,1,"10","Mrrf"
0.00207144516791374,0.323685387347448,0.74,0.367,1,"10","Zfp106"
0.00208286932818011,0.861185897691501,0.18,0.059,1,"10","Twf2"
0.00208461315295602,0.35793586128226,0.38,0.18,1,"10","Gnpda2"
0.00208687025787499,0.257555732449323,0.36,0.162,1,"10","Gsk3a"
0.00209644161814555,0.357147470637591,0.18,0.06,1,"10","Pcyox1l"
0.00209973148782924,0.594110640709264,0.3,0.119,1,"10","Nudt22"
0.00210396744789443,0.783853799743251,0.42,0.199,1,"10","Mesd"
0.00211876588434041,0.375547295334805,0.64,0.347,1,"10","Arpc5l"
0.00212146251760382,1.29090056452415,0.14,0.041,1,"10","Efnb3"
0.00213008196487505,1.12132495298625,0.16,0.04,1,"10","Zfand2a"
0.00213149201844164,1.32461399862784,0.1,0.024,1,"10","Ablim3"
0.00214092984767135,0.374333305118619,0.34,0.132,1,"10","Senp5"
0.00215152317612684,0.609877652456276,0.12,0.032,1,"10","AC160336.1"
0.00217242570029829,0.481601559117953,0.16,0.048,1,"10","Plppr2"
0.00217772120399166,0.995712473163874,0.1,0.022,1,"10","Ccnb1ip1"
0.00217772120399166,0.279861465867953,0.1,0.035,1,"10","Scn9a"
0.00218733105658192,0.392492329436876,0.44,0.229,1,"10","Mrpl32"
0.00221099333590898,0.365406516431805,0.2,0.081,1,"10","Ranbp10"
0.00221409955917655,0.40777880761529,0.28,0.098,1,"10","Nufip1"
0.0022402317157955,0.358173641159079,0.16,0.056,1,"10","Zfp420"
0.00224613763604734,1.16962792691161,0.16,0.045,1,"10","Zfp362"
0.00224879026316498,1.16257942602548,0.1,0.027,1,"10","Plaat1"
0.00226811525193525,0.31234580863221,0.32,0.118,1,"10","Rpf2"
0.00227480211605397,0.281156247796939,0.28,0.087,1,"10","Zfp236"
0.00228034479750597,0.917982045091982,0.16,0.049,1,"10","Lrch1"
0.00228174041272656,0.440163159611367,0.24,0.095,1,"10","Aptx"
0.00228657031500406,1.50264104108359,0.14,0.031,1,"10","Chrna6"
0.00231375273077098,0.480645114452656,0.18,0.071,1,"10","Zbtb5"
0.00232111359940766,0.459204629601845,0.32,0.124,1,"10","Pias2"
0.0023286796083219,0.611317449124973,0.28,0.113,1,"10","Mcmbp"
0.00232964533677471,0.369575593289235,0.24,0.104,1,"10","Seh1l"
0.0023343789395715,0.35366054881444,0.26,0.115,1,"10","Ccnk"
0.00233443584062205,0.385079019662126,0.32,0.131,1,"10","Slc25a12"
0.00234306324054425,0.790114132880633,0.26,0.095,1,"10","Bap1"
0.00235019489863235,0.517304058270649,0.16,0.057,1,"10","Thoc6"
0.00235910613697416,0.607410917543981,0.26,0.113,1,"10","Irak1"
0.0023718125377605,0.604480844865263,0.28,0.096,1,"10","Exoc6"
0.00237218300016156,0.329605396729268,0.26,0.116,1,"10","Leng1"
0.00237663682792247,0.468690262338543,0.24,0.096,1,"10","Gramd1a"
