"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.20752226312604e-23,2.12351376377341,0.229,0.029,7.79780101025149e-19,"9","Gabrb1"
4.2807942212536e-23,1.38567907000445,0.297,0.055,7.93359593024931e-19,"9","Dcc"
4.35112575772867e-23,1.17911577745522,0.401,0.097,8.06394136679855e-19,"9","Susd4"
4.43351128835422e-23,1.42498623164068,0.48,0.141,8.21662647070687e-19,"9","Fndc5"
4.50225139783187e-23,1.59435043165797,0.45,0.129,8.34402251560181e-19,"9","Psd3"
4.5528832944428e-23,1.31720472581558,0.557,0.176,8.43785860959084e-19,"9","Ap2a1"
5.78956099811436e-23,2.96215229368874,0.229,0.012,1.07297933978053e-18,"9","Col6a1"
5.79333364788348e-23,1.67060538339343,0.446,0.113,1.07367852496225e-18,"9","Stac2"
5.83519353331575e-23,0.882498503373281,0.63,0.261,1.08143641752941e-18,"9","Mapk1"
5.86078991444472e-23,0.761402243248262,0.838,0.509,1.08618019484404e-18,"9","Zc3h15"
6.08390080193286e-23,2.2958474513303,0.278,0.031,1.12752933562222e-18,"9","Rusc1"
6.32557060370097e-23,1.10241333217336,0.55,0.22,1.1723179999839e-18,"9","2510009E07Rik"
6.40377116224982e-23,2.58634599285563,0.333,0.049,1.18681090949976e-18,"9","Adgrb1"
6.68627682173283e-23,1.84546375825468,0.382,0.062,1.23916768337175e-18,"9","Phlda1"
6.7063045152311e-23,2.51336743116311,0.26,0.023,1.24287941580778e-18,"9","Nudt11"
6.88196111617029e-23,1.58768832418269,0.339,0.077,1.27543385365984e-18,"9","Kcnh2"
7.02606741230691e-23,1.28881224635678,0.55,0.169,1.30214107352284e-18,"9","Dclk1"
7.32235391021361e-23,1.5167539897636,0.404,0.102,1.35705185017989e-18,"9","Slc5a3"
7.42500030251595e-23,3.75739359025765,0.193,0.005,1.37607530606528e-18,"9","Kcnc4"
7.9662696209493e-23,0.874641723756473,0.716,0.3,1.47638874885053e-18,"9","Kras"
8.36240615249813e-23,1.93125555759217,0.336,0.068,1.54980473224248e-18,"9","Mir670hg"
9.0765330990244e-23,0.76722040599392,0.862,0.543,1.68215387924219e-18,"9","Prkar1a"
9.19915997967407e-23,1.84809289115882,0.361,0.068,1.704880319033e-18,"9","Pnck"
9.28478427886699e-23,1.28589887641219,0.52,0.162,1.72074907040242e-18,"9","Trim37"
9.48111657017809e-23,1.51318531797826,0.266,0.034,1.75713533395111e-18,"9","Grm8"
9.48116926672593e-23,0.817335604547727,0.872,0.604,1.75714510020232e-18,"9","Fkbp3"
9.49136682874892e-23,0.99139128977113,0.618,0.257,1.75903501437204e-18,"9","Sucla2"
1.00049784625072e-22,1.00598910407338,0.783,0.401,1.85422265845646e-18,"9","2210016L21Rik"
1.05020623501543e-22,1.57568539737376,0.358,0.061,1.9463472153541e-18,"9","Unc79"
1.05718798043983e-22,1.31806026062004,0.321,0.045,1.95928648414914e-18,"9","Trank1"
1.08655314533223e-22,2.40589093181672,0.254,0.025,2.01370894424423e-18,"9","Ankrd34a"
1.2313431644948e-22,1.36285170806589,0.453,0.124,2.28204828675821e-18,"9","Atxn7l3"
1.25447439105586e-22,3.40764268002365,0.235,0.013,2.32491738894382e-18,"9","Hpgd"
1.35600678732129e-22,1.51073222363418,0.465,0.142,2.51308737894254e-18,"9","Pdlim7"
1.49801750544672e-22,1.05035345583058,0.492,0.164,2.77627584284441e-18,"9","Lrrc49"
1.49996815083812e-22,2.19035506080892,0.336,0.054,2.77989097394829e-18,"9","Fam13a"
