Unnamed: 0,ERR5236650_f_Aligned.sortedByCoord.out.tsv,ERR5236654_f_Aligned.sortedByCoord.out.tsv,ERR5236653_f_Aligned.sortedByCoord.out.tsv,ERR5236639_f_Aligned.sortedByCoord.out.tsv,ERR5236616_m_Aligned.sortedByCoord.out.tsv,ERR5236648_m_Aligned.sortedByCoord.out.tsv,ERR5236652_m_Aligned.sortedByCoord.out.tsv
Ac003958.2,0,0,0,0,0,0,0
Ac003965.1,35,11,17,12,13,9,11
Ac003965.2,0,0,0,0,0,0,0
Ac003973.1,0,0,0,0,0,0,0
Ac003973.2,2,1,0,0,0,0,0
Ac003973.3,16,9,30,23,6,31,19
Ac003975.1,1,0,0,0,0,0,0
Ac003982.1,8,3,0,2,3,2,1
Ac003984.1,0,0,0,0,0,1,0
Ac003985.1,0,0,0,0,0,0,0
Ac003985.2,0,0,0,0,0,0,0
Ac003986.1,0,0,0,0,4,0,1
Ac003986.2,0,0,0,0,1,0,0
Ac003986.3,0,0,1,0,0,0,0
Ac003988.1,0,0,0,0,0,1,1
Ac003989.1,0,0,0,0,0,0,0
Ac003989.2,0,0,0,0,0,0,0
Ac003991.1,0,3,1,0,3,2,0
Ac003991.2,0,0,3,1,0,0,0
Ac003992.1,2,0,0,1,4,1,3
Ac004000.1,1,0,0,0,0,2,1
Ac004004.1,0,0,0,0,0,0,0
Ac004006.1,0,0,0,0,0,0,0
Ac004009.1,0,0,0,1,0,0,0
Ac004009.2,0,0,0,0,0,0,0
Ac004009.3,0,0,0,0,0,0,0
Ac004012.1,1,0,2,1,0,0,0
Ac004014.1,0,0,0,0,0,0,0
Ac004014.2,0,0,1,0,0,0,0
Ac004022.1,0,0,0,0,0,0,0
Ac004022.2,0,0,0,0,0,0,0
Ac004023.1,3,4,3,0,2,2,2
Ac004024.1,4,2,5,0,0,3,0
Ac004034.1,43,24,48,29,46,33,42
Ac004039.1,57,37,54,32,19,36,18
Ac004052.1,0,0,0,0,1,1,0
Ac004053.1,0,0,0,0,0,0,0
Ac004054.1,0,0,1,1,0,1,1
Ac004057.1,21,4,3,3,2,2,13
Ac004062.1,0,0,0,0,0,0,0
Ac004063.1,0,0,0,0,0,1,0
Ac004066.1,1,0,0,0,0,0,0
Ac004066.2,0,0,0,0,0,0,0
Ac004067.1,13,33,15,20,42,23,30
Ac004069.1,38,54,161,55,43,47,62
Ac004069.2,0,0,1,0,0,1,0
Ac004074.1,0,0,0,0,0,0,0
Ac004076.1,27,18,21,13,15,8,7
Ac004076.2,98,66,102,102,85,69,68
Ac004080.1,0,0,0,0,0,0,0
Ac004080.2,0,0,0,0,0,0,0
Ac004080.3,0,0,0,0,0,0,0
Ac004080.4,0,0,0,0,0,0,0
Ac004080.5,0,0,0,0,0,0,0
Ac004080.6,0,0,0,0,0,0,0
Ac004112.1,5,7,5,4,9,13,3
Ac004129.1,0,0,0,0,0,0,0
Ac004129.2,0,0,0,0,0,0,0
Ac004129.3,0,0,1,0,0,0,0
Ac004130.1,16,4,2,2,11,5,3
Ac004134.1,0,2,6,1,0,2,0
Ac004147.1,2,1,0,1,1,2,1
Ac004147.2,111,137,120,139,156,122,79
Ac004147.3,0,0,0,0,1,0,2
Ac004147.4,2,1,0,0,2,0,0
Ac004147.5,3,0,0,0,0,0,1
Ac004148.1,0,1,0,0,0,0,0
Ac004148.2,388,289,227,328,348,266,456
Ac004156.1,51,55,35,23,50,38,22
Ac004158.1,22,28,12,11,14,15,4
Ac004160.1,18,20,18,12,12,20,11
Ac004160.2,4,2,0,2,1,2,3
Ac004217.1,0,0,0,0,0,0,0
Ac004217.2,0,0,0,0,0,0,0
Ac004221.1,17,16,15,12,23,16,23
Ac004223.1,0,0,0,1,0,3,1
Ac004223.2,13,11,4,6,4,8,8
Ac004223.3,23,12,16,16,20,14,15
Ac004224.1,0,1,1,2,2,1,6
Ac004224.2,0,0,0,0,0,0,0
Ac004231.1,12,2,12,15,2,7,23
Ac004231.3,0,0,0,0,0,0,1
Ac004232.1,0,0,0,0,0,0,0
Ac004232.2,0,0,0,0,0,0,0
Ac004232.3,57,32,31,23,16,8,20
Ac004233.1,37,18,28,22,25,38,16
Ac004233.2,19,17,22,14,16,21,15
Ac004233.3,220,157,172,120,127,134,96
Ac004233.4,33,28,28,30,16,21,18
Ac004241.1,40,29,12,27,17,12,24
Ac004241.2,7,1,1,4,2,4,0
Ac004241.3,15,14,7,6,7,3,17
Ac004241.4,2,2,1,1,3,1,1
Ac004241.5,13,10,7,16,10,12,17
Ac004253.1,48,26,30,38,50,30,51
Ac004253.2,0,0,0,0,0,1,0
Ac004257.1,1,0,0,1,0,0,0
Ac004263.1,22,10,22,28,17,27,28
Ac004264.1,2,2,52,10,3,46,77
Ac004264.2,16,25,63,19,27,47,24
Ac004381.1,0,0,0,0,0,2,1
Ac004381.2,3,6,4,4,4,10,1
Ac004381.3,1,1,0,0,1,2,2
Ac004383.1,55,96,150,84,42,72,33
Ac004386.1,1,0,0,0,0,0,0
Ac004386.2,0,1,0,0,0,0,0
Ac004408.1,3,0,1,1,1,0,0
Ac004408.2,5,2,1,4,4,5,1
Ac004415.1,0,0,0,0,0,0,0
Ac004448.1,0,0,0,0,0,0,0
Ac004448.2,18,9,9,12,10,15,8
Ac004448.3,0,0,0,0,0,1,0
Ac004449.1,43,16,5,17,21,6,5
Ac004453.1,76,47,42,12,22,12,53
Ac004453.2,19,24,24,22,16,22,18
Ac004461.1,2,2,2,1,1,0,0
Ac004461.2,6,16,18,10,5,28,9
Ac004466.1,0,1,0,2,0,0,0
Ac004466.2,1,3,2,1,3,3,0
Ac004466.3,8,11,15,9,12,19,6
Ac004467.1,0,0,0,0,1,0,1
Ac004470.1,0,0,0,0,0,0,0
Ac004471.1,28,16,10,13,9,8,24
Ac004471.2,6,3,2,5,4,2,3
Ac004477.1,150,60,38,42,45,52,68
Ac004477.2,0,0,0,0,0,0,0
Ac004477.3,21,19,16,10,10,16,14
Ac004485.1,0,0,0,2,0,0,0
Ac004486.1,3,0,0,0,0,1,1
Ac004490.1,0,3,5,3,0,7,3
Ac004491.1,2,1,1,1,1,2,0
Ac004492.1,24,19,42,27,13,50,17
Ac004494.1,9,28,24,15,13,19,11
Ac004494.2,0,0,0,0,0,0,0
Ac004522.1,0,0,0,0,0,0,0
Ac004522.2,6,7,4,5,14,18,8
Ac004528.1,5,3,3,4,4,3,3
Ac004528.2,0,0,0,0,0,0,0
Ac004540.1,554,1089,659,337,333,727,394
Ac004540.2,32,32,30,23,22,20,10
Ac004542.1,0,0,0,0,0,0,0
Ac004542.2,0,0,0,0,0,0,0
Ac004543.1,0,0,1,1,0,1,0
Ac004551.1,0,0,0,0,0,2,0
Ac004552.1,1,0,0,0,0,0,1
Ac004554.1,0,0,0,0,0,0,0
Ac004554.2,2,2,3,0,2,4,1
Ac004584.1,6,7,6,3,4,2,4
Ac004584.2,1,0,0,1,0,0,0
Ac004584.3,3,9,11,5,6,18,5
Ac004585.1,0,0,0,0,0,0,1
Ac004585.2,0,0,0,0,0,0,0
Ac004590.1,0,0,0,2,2,0,0
Ac004593.1,0,0,0,0,0,0,0
Ac004593.2,1,1,4,2,6,2,0
Ac004593.3,0,0,0,0,0,0,0
Ac004594.1,5,1,4,7,2,9,3
Ac004596.1,1,2,1,1,2,0,0
Ac004597.1,5,4,0,5,8,5,0
Ac004623.1,21,16,32,13,17,19,19
Ac004637.1,3,7,25,9,7,11,4
Ac004656.1,787,763,1073,827,521,594,734
Ac004672.1,1,2,1,1,1,1,2
Ac004672.2,0,0,0,0,0,0,1
Ac004674.1,0,0,0,0,0,0,0
Ac004678.1,18,14,10,12,21,18,6
Ac004678.2,8,7,7,6,7,5,4
Ac004687.1,2,6,3,3,7,7,5
Ac004687.2,14,6,7,8,10,13,4
Ac004690.1,0,0,0,0,0,0,0
Ac004690.2,0,0,0,0,0,0,0
Ac004691.1,2,1,4,2,1,1,1
Ac004691.2,0,0,0,0,0,0,0
Ac004692.1,0,0,0,0,0,1,1
Ac004692.2,1,1,1,0,0,1,2
Ac004696.1,21,15,24,10,25,32,16
Ac004696.2,0,3,3,1,1,8,2
Ac004702.1,0,0,0,1,0,0,0
Ac004704.1,0,0,0,0,0,0,0
Ac004706.1,39,49,32,31,21,50,49
Ac004706.2,0,0,0,0,0,0,0
Ac004706.3,57,50,36,35,37,86,53
Ac004707.1,1,0,0,0,0,0,0
Ac004754.1,64,22,33,35,27,26,49
Ac004765.1,1,6,8,1,0,3,0
Ac004771.1,12,6,3,6,6,7,3
Ac004771.2,4,3,4,2,2,4,2
Ac004771.3,3,2,9,4,7,17,5
Ac004771.4,0,0,0,0,0,0,0
Ac004771.5,4,15,24,6,9,19,8
Ac004775.1,7,6,5,6,8,4,14
Ac004777.1,3,0,4,1,1,2,2
Ac004784.1,31,10,14,5,14,2,12
Ac004790.1,0,0,0,0,0,0,0
Ac004790.2,0,0,0,0,0,0,0
Ac004792.1,0,0,0,0,0,0,0
Ac004801.1,0,2,0,0,0,0,0
Ac004801.2,7,1,3,3,2,11,5
Ac004801.3,0,0,0,0,1,0,0
Ac004801.4,0,0,0,0,0,0,0
Ac004801.5,4,5,0,0,2,0,5
Ac004801.6,23,4,8,17,6,13,8
Ac004801.7,1,0,0,0,1,0,0
Ac004803.1,223,156,156,99,130,147,117
Ac004805.1,1,0,0,0,1,0,0
Ac004805.2,0,3,0,1,0,0,1
Ac004805.3,3,6,10,6,0,6,1
Ac004808.1,0,0,0,0,0,0,0
Ac004808.2,0,0,0,0,1,0,0
Ac004812.1,0,0,0,0,0,0,0
Ac004812.2,379,209,217,152,192,155,159
Ac004816.1,345,198,227,151,172,101,163
Ac004816.2,0,0,0,0,1,2,1
Ac004817.1,0,0,1,2,0,0,0
Ac004817.2,0,0,0,0,0,0,0
Ac004817.3,0,0,0,0,0,0,0
Ac004817.4,1,0,1,0,1,0,1
Ac004824.1,0,0,0,0,0,0,0
Ac004825.1,0,0,0,0,0,0,0
Ac004825.2,22,25,15,18,21,12,17
Ac004828.1,0,0,5,2,1,0,2
Ac004830.1,133,75,91,55,30,94,71
Ac004832.1,19,5,8,22,9,10,9
Ac004832.2,5,1,6,4,2,7,8
Ac004832.3,0,0,0,0,0,0,0
Ac004832.4,10,8,8,5,11,15,16
Ac004832.5,21,17,25,15,15,46,25
Ac004832.6,55,27,26,52,77,51,64
Ac004834.1,18,14,20,6,14,24,12
Ac004835.1,2,2,3,1,5,3,3
Ac004835.2,0,0,0,0,0,0,0
Ac004836.1,52,25,14,52,62,24,52
Ac004837.1,0,0,0,0,0,0,0
Ac004837.2,5,3,5,5,2,7,3
Ac004837.3,0,0,0,0,0,0,0
Ac004839.1,4,4,4,5,4,10,1
Ac004840.1,1,1,0,1,1,1,0
